id,dai_code,dai_title,chu_code,chu_title,sho_code,sho_display_code,sho_title,goal_section_code,goal_section_display_code,goal_section,goal_code,goal_display_code,goal_text,source_pdf,source_page
A-1-1)-①,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,1,1),医の倫理と生命倫理,,,,1,①,医の倫理と生命倫理の歴史経過と諸問題を概説できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-1)-②,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,1,1),医の倫理と生命倫理,,,,2,②,医の倫理に関する規範・国際規範（ヒポクラテスの誓い、ジュネーブ宣言、ヘルシンキ宣言等）を概説できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-1)-③,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,1,1),医の倫理と生命倫理,,,,3,③,臨床（生と死に関わる問題を含む）に関する倫理的問題を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-1)-④,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,1,1),医の倫理と生命倫理,,,,4,④,医学研究に関する倫理的問題を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-1)-⑤,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,1,1),医の倫理と生命倫理,,,,5,⑤,情報倫理に関わる問題を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-1)-⑥,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,1,1),医の倫理と生命倫理,,,,6,⑥,研究を、医学・医療の発展や患者の利益の増進を目的として行うよう配慮できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-2)-①,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,2,2),患者中心の視点,,,,1,①,患者の権利を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-2)-②,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,2,2),患者中心の視点,,,,2,②,患者の自己決定権を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-2)-③,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,2,2),患者中心の視点,,,,3,③,患者が自己決定できない場合の対応を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-2)-④,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,2,2),患者中心の視点,,,,4,④,インフォームド・コンセントの意義と重要性を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-3)-①,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,3,3),歯科医師としての責務と裁量権,,,,1,①,歯科医師のプロフェッショナリズムを説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-3)-②,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,3,3),歯科医師としての責務と裁量権,,,,2,②,患者との信頼関係構築の重要性を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-3)-③,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,3,3),歯科医師としての責務と裁量権,,,,3,③,医療サービスの特殊性（情報の非対称性・医療の不確実性）や治療の限界を説明できる。,20230601-mxt_igaku-000029086_4.pdf,21
A-1-3)-④,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,3,3),歯科医師としての責務と裁量権,,,,4,④,歯科医師に課せられた社会的責任と法的責任（刑事責任、民事責任、歯科医師法に基づく行政処分）を説明できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-1-3)-⑤,A,歯科医師として求められる基本的な資質・能力,1,プロフェッショナリズム,3,3),歯科医師としての責務と裁量権,,,,5,⑤,患者に最も適した歯科医療を勧めるとともに、代替する他の方法についても説明できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-1)-①,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,1,1),課題探求・解決能力,,,,1,①,必要な課題を自ら発見できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-1)-②,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,1,1),課題探求・解決能力,,,,2,②,自分に必要な課題を、重要性・必要性に照らして順位付けできる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-1)-③,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,1,1),課題探求・解決能力,,,,3,③,課題を解決する具体的な方法を発見し、課題を解決できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-1)-④,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,1,1),課題探求・解決能力,,,,4,④,課題の解決に当たり、他の学習者や教員と協力してよりよい解決方法を見出すことができる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-1)-⑤,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,1,1),課題探求・解決能力,,,,5,⑤,適切な自己評価ができ、改善のための具体的方策を立てることができる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-2)-①,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,2,2),学修の在り方,,,,1,①,講義、国内外の教科書・論文、検索情報等の内容について、重要事項や問題点を抽出できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-2)-②,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,2,2),学修の在り方,,,,2,②,得られた情報を統合し、客観的・批判的に整理して自分の考えを分かりやすく表現できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-2)-③,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,2,2),学修の在り方,,,,3,③,実験・実習の内容を決められた様式にしたがって文書と口頭で発表できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-2)-④,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,2,2),学修の在り方,,,,4,④,後輩等へ適切に指導できる。,20230601-mxt_igaku-000029086_4.pdf,22
A-2-2)-⑤,A,歯科医師として求められる基本的な資質・能力,2,医学知識と問題対応能力,2,2),学修の在り方,,,,5,⑤,各自の興味に応じて選択制カリキュラム（医学研究等）に参加する。,20230601-mxt_igaku-000029086_4.pdf,22
A-3-①,A,歯科医師として求められる基本的な資質・能力,3,診療技能と患者ケア,,,,,,,1,①,適切な医療面接により、患者との良好な関係を構築し、必要に応じて患者教育を実施できる。,20230601-mxt_igaku-000029086_4.pdf,23
A-3-②,A,歯科医師として求められる基本的な資質・能力,3,診療技能と患者ケア,,,,,,,2,②,全身状態の評価に基づいた口腔・顎顔面領域の診察ができる。,20230601-mxt_igaku-000029086_4.pdf,23
